name,0,1,2,3,4,5
2015-01-01 00:00:00,-41.3237431069,-801.784644266,661.20958377,471.817030113,55.9883895082,-477.796922912
2015-01-01 01:00:00,-70.5930995938,-409.683935333,402.605777587,552.204283299,-215.108576595,-289.319717147
2015-01-01 02:00:00,-142.739258206,-976.889461371,926.523064119,459.925219959,91.0315025086,-500.811872518
2015-01-01 03:00:00,342.601841891,-234.302233363,-270.935427521,666.706217164,-86.3869555665,-515.995581876
2015-01-01 04:00:00,-342.601841891,-976.889461371,1188.07830787,586.835203202,30.0295345237,-556.182918885
2015-01-01 05:00:00,-54.1851304747,-752.540466166,640.75211326,185.084258877,-65.8038126745,-103.026004175
2015-01-01 06:00:00,-292.903700623,-976.889461371,1123.03957369,259.202110346,16.358748975,-248.639427489
2015-01-01 07:00:00,227.433216602,-282.990313247,-83.3493215077,403.158568499,215.108576595,-569.126822429
2015-01-01 08:00:00,205.7734011,-944.940992432,446.240992136,-61.8364071721,175.025547751,-112.755824829
2015-01-01 09:00:00,180.054088437,-207.870710464,-78.2277553292,666.706217164,167.811231585,-760.453910388
