id,Name,Fueltype,Technology,Set,Country,Capacity,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
759,Ec wrotków,OCGT,,PP,Poland,231.0,0.0,,,51.2165356,22.5591116,ENTSOE,"{'CARMA': ['CARMA50165'], 'ENTSOE': ['19W0000000001098'], 'GPD': ['GPD12032']}",4307
760,Pracomune,Hydro,Pumped Storage,Store,Italy,42.0,0.0,1968.0,1968.0,46.547807899999995,11.0070771,energy_storage_exchange,"{'CARMA': ['CARMA35648'], 'ENTSOE': ['26WIMPI-S04PRCMY'], 'ESE': ['ESE225']}",3681
761,Campo moro,Hydro,Pumped Storage,Store,Italy,36.5,0.0,1965.0,1965.0,46.269580299999994,9.872098699999999,energy_storage_exchange,"{'CARMA': ['CARMA6864'], 'ENTSOE': ['26WIMPI-S03CMMPF'], 'ESE': ['ESE220']}",3687
762,Zielona góra,CCGT,CCGT,PP,Poland,188.0,0.0,,,51.935621399999995,15.5061862,,"{'CARMA': ['CARMA51011'], 'ENTSOE': ['19W000000000230D'], 'GEO': ['GEO42486']}",4570
763,Wrocław,Hard Coal,Steam Turbine,PP,Poland,272.4,0.0,,,51.1078852,17.0385376,,"{'CARMA': ['CARMA50162', 'CARMA50159'], 'ENTSOE': ['19W000000000213D'], 'GEO': ['GEO42487']}",4371
764,Włocławek,Hydro,Reservoir,PP,Poland,157.0,0.0,1970.0,1970.0,52.6483303,19.0677357,,"{'CARMA': ['CARMA49991'], 'ENTSOE': ['19W000000000004M'], 'GEO': ['GEO42469']}",5469
765,Whitegate prod,CCGT,CCGT,PP,Ireland,435.0,0.0,,,51.82678410000001,-8.2321121,,"{'CARMA': ['CARMA49582'], 'ENTSOE': ['47W000000000158E'], 'GEO': ['GEO43928']}",5157
766,Voelklingen,Hard Coal,Steam Turbine,PP,Germany,390.0,0.0,,,49.2556226,6.8588948000000025,,"{'CARMA': ['CARMA48515', 'CARMA48514'], 'ENTSOE': ['11WD7VOLK5S--KWI'], 'GEO': ['GEO44330']}",4608
767,Vilniause,OCGT,Steam Turbine,PP,Lithuania,360.0,0.0,,,54.6871555,25.2796514,,"{'CARMA': ['CARMA48309'], 'ENTSOE': ['41W3185595680EL8'], 'GEO': ['GEO42166']}",5415
768,Vidraru,Hydro,Reservoir,PP,Romania,219.4,0.0,1966.0,1966.0,45.39648529999999,24.6224249,,"{'CARMA': ['CARMA48125'], 'ENTSOE': ['30W-CHE-CORB---Q'], 'GEO': ['GEO40980']}",3160
769,Verzuolo,CCGT,CCGT,PP,Italy,140.0,0.0,,,44.5938864,7.483104499999999,,"{'CARMA': ['CARMA48032'], 'ENTSOE': ['26WIMZI-S01BVRG0'], 'GEO': ['GEO44021']}",2322
770,Actv,CCGT,CCGT,PP,Italy,53.0,0.0,,,45.29652,8.41025,,"{'CARMA': ['CARMA47976'], 'ENTSOE': ['26WIMPI-S01ACTV7'], 'GEO': ['GEO45449']}",3633
771,Bastardo,Hard Coal,Steam Turbine,PP,Italy,130.0,0.0,,,42.8714814,12.560268800000001,,"{'CARMA': ['CARMA3517'], 'ENTSOE': ['26WIMPI-S10BSTRJ'], 'GEO': ['GEO43725']}",2249
772,Valeira,Hydro,Run-Of-River,PP,Portugal,240.0,0.0,1975.0,1975.0,33.055408,-16.3303109,,"{'CARMA': ['CARMA47587'], 'ENTSOE': ['16WVALEIRA-----B'], 'GEO': ['GEO43540']}",1784
773,Újpesti erőmű,CCGT,CCGT,PP,Hungary,102.3,0.0,,,47.55434620000001,19.101610600000004,,"{'CARMA': ['CARMA46909', 'CARMA46910'], 'ENTSOE': ['15WUJPEST----PPO'], 'GEO': ['GEO42679']}",3273
774,Tynagh production,CCGT,CCGT,PP,Ireland,404.0,0.0,,,53.15001899999999,-8.3736439,,"{'CARMA': ['CARMA46765'], 'ENTSOE': ['47W000000000172K'], 'GEO': ['GEO43934']}",5894
775,Turbigo,"CCGT, Thermal","CCGT, Thermal",PP,Italy,1079.0,0.0,,,45.5329915,8.736664999999999,,"{'CARMA': ['CARMA46633'], 'ENTSOE': ['26WIMPI-S03TRBGZ'], 'GEO': ['GEO43685']}",3649
776,Torviscosa,CCGT,CCGT,PP,Italy,809.0,0.0,,,45.8292352,13.2627729,,"{'CARMA': ['CARMA45989'], 'ENTSOE': ['26WIMPI-S06TRVC2'], 'GEO': ['GEO43978']}",3421
777,Vessingfoss,Hydro,,PP,Norway,45.0,0.0,,,62.9957,11.8285,ENTSOE,"{'CARMA': ['CARMA48039'], 'ENTSOE': ['50WP00000000812X'], 'GPD': ['GPD11799']}",6816
778,Vemundsbotn,Hydro,,PP,Norway,55.0,0.0,,,60.855,5.6951,ENTSOE,"{'CARMA': ['CARMA47926'], 'ENTSOE': ['50WP00000000808O'], 'GPD': ['GPD11798']}",6414
779,Värtaverket,Hard Coal,,PP,Sweden,320.0,0.0,2013.0,2013.0,59.3532,18.0985,Fortum Sweden,"{'CARMA': ['CARMA47799'], 'ENTSOE': ['46WPU0000000023X'], 'GPD': ['GPD13980']}",6362
780,Tjorhom,Hydro,,PP,Norway,140.0,0.0,,,58.8885747,6.8519783,ENTSOE,"{'CARMA': ['CARMA45586'], 'ENTSOE': ['50WP00000000743Q'], 'GPD': ['GPD11783']}",6443
781,Steinsland,Hydro,,PP,Norway,198.0,0.0,,,60.93359270000001,5.9715375,ENTSOE,"{'CARMA': ['CARMA43183'], 'ENTSOE': ['50WP00000000667G'], 'GPD': ['GPD11767']}",6484
782,Stuvane,Hydro,,PP,Norway,42.0,0.0,,,61.0514,7.6418,ENTSOE,"{'CARMA': ['CARMA43502'], 'ENTSOE': ['50WP00000000682K'], 'GPD': ['GPD11770']}",6428
783,Suldal,Hydro,,PP,Norway,350.0,0.0,,,59.57154370000001,6.8164380000000016,ENTSOE,"{'CARMA': ['CARMA43615'], 'ENTSOE': ['50WP00000000685E', '50WP00000000684G'], 'GPD': ['GPD11771']}",6443
784,Sundsfjord,Hydro,,PP,Norway,128.0,0.0,,,66.983017,14.1690701,ENTSOE,"{'CARMA': ['CARMA43737'], 'ENTSOE': ['50WP000000006888'], 'GPD': ['GPD11773']}",6787
785,Svean,Hydro,,PP,Norway,42.0,0.0,,,59.91430399999999,10.7379964,ENTSOE,"{'CARMA': ['CARMA43942'], 'ENTSOE': ['50WP000000006993'], 'GPD': ['GPD11775']}",6481
786,Svorkmo,Hydro,,PP,Norway,86.0,0.0,,,63.16366485,9.75744035,ENTSOE,"{'CARMA': ['CARMA43968'], 'ENTSOE': ['50WP00000000706W', '50WP00000000707U'], 'GPD': ['GPD11778']}",6604
787,Azoty tarnów,Hard Coal,,PP,Poland,102.0,0.0,,,51.4508204,21.9841354,ENTSOE,"{'CARMA': ['CARMA44643'], 'ENTSOE': ['19W000000000240A'], 'GPD': ['GPD12021']}",4423
